"title","authors","matched_title","matched_author","submitted","updated","score","num_reviews","id","arx_id","arx_id_match","match_type"
"Revisiting Knowledge Base Embedding as Tensor Decomposition","[""Jiezhong Qiu"", ""Hao Ma"", ""Yuxiao Dong"", ""Kuansan Wang"", ""Jie Tang""]",NA,NA,NA,NA,3.66666666666667,3,"S1sRrN-CW",NA,NA,"automatic"
"NerveNet: Learning Structured Policy with Graph Neural Networks","[""Tingwu Wang"", ""Renjie Liao"", ""Jimmy Ba"", ""Sanja Fidler""]",NA,NA,NA,NA,6.66666666666667,3,"S1sqHMZCb",NA,NA,"automatic"
"Joint autoencoders: a flexible meta-learning framework","[""Baruch Epstein"", ""Ron Meir"", ""Tomer Michaeli""]",NA,NA,NA,NA,4.66666666666667,3,"S1tWRJ-R-",NA,NA,"automatic"
"Adaptive Dropout with Rademacher Complexity Regularization","[""Ke Zhai"", ""Huan Wang""]",NA,NA,NA,NA,6.33333333333333,3,"S1uxsye0Z",NA,NA,"automatic"
"Unsupervised Representation Learning by Predicting Image Rotations","[""Spyros Gidaris"", ""Praveer Singh"", ""Nikos Komodakis""]","Unsupervised Representation Learning by Predicting Image Rotations","Spyros Gidaris|Praveer Singh|Nikos Komodakis","2018-03-21 03:21:14","2018-03-21 03:21:14",6,3,"S1v4N2l0-",NA,"1803.07728v1","automatic"
"TCAV: Relative concept importance testing with Linear Concept Activation Vectors","[""Been Kim"", ""Justin Gilmer"", ""Martin Wattenberg"", ""Fernanda Vi\u00e9gas""]",NA,NA,NA,NA,4,4,"S1viikbCW",NA,NA,"automatic"
"Leave no Trace: Learning to Reset for Safe and Autonomous Reinforcement Learning","[""Benjamin Eysenbach"", ""Shixiang Gu"", ""Julian Ibarz"", ""Sergey Levine""]","Leave no Trace: Learning to Reset for Safe and Autonomous Reinforcement Learning","Benjamin Eysenbach|Shixiang Gu|Julian Ibarz|Sergey Levine","2017-11-18 00:53:20","2017-11-18 00:53:20",6.25,4,"S1vuO-bCW",NA,"1711.06782v1","automatic"
"Hybed: Hyperbolic Neural Graph Embedding","[""Benjamin Paul Chamberlain"", ""James R Clough"", ""Marc Peter Deisenroth""]",NA,NA,NA,NA,5,4,"S1xDcSR6W",NA,NA,"automatic"
"Mastering the Dungeon: Grounded Language Learning by Mechanical Turker Descent","[""Zhilin Yang"", ""Saizheng Zhang"", ""Jack Urbanek"", ""Will Feng"", ""Alexander Miller"", ""Arthur Szlam"", ""Douwe Kiela"", ""Jason Weston""]","Mastering the Dungeon: Grounded Language Learning by Mechanical Turker Descent","Zhilin Yang|Saizheng Zhang|Jack Urbanek|Will Feng|Alexander H. Miller|Arthur Szlam|Douwe Kiela|Jason Weston","2017-11-21 18:21:16","2018-04-16 15:48:58",7.33333333333333,3,"SJ-C6JbRW",NA,"1711.07950v3","automatic"
"BLOCK-DIAGONAL HESSIAN-FREE OPTIMIZATION FOR TRAINING NEURAL NETWORKS","[""Huishuai Zhang"", ""Caiming Xiong"", ""James Bradbury"", ""Richard Socher""]","Block-diagonal Hessian-free Optimization for Training Neural Networks","Huishuai Zhang|Caiming Xiong|James Bradbury|Richard Socher","2017-12-20 02:52:35","2017-12-20 02:52:35",5.33333333333333,3,"SJ19eUg0-",NA,"1712.07296v1","automatic"
"FearNet: Brain-Inspired Model for Incremental Learning","[""Ronald Kemker"", ""Christopher Kanan""]","FearNet: Brain-Inspired Model for Incremental Learning","Ronald Kemker|Christopher Kanan","2017-11-28 21:26:15","2018-02-23 20:32:27",6.66666666666667,3,"SJ1Xmf-Rb",NA,"1711.10563v2","automatic"
"Training with Growing Sets: A Simple Alternative to Curriculum Learning and Self Paced Learning","[""Melike Nur Mermer"", ""Mehmet Fatih Amasyali""]",NA,NA,NA,NA,4.66666666666667,3,"SJ1fQYlCZ",NA,NA,"automatic"
"Multi-Task Learning for Document Ranking and Query Suggestion","[""Wasi Uddin Ahmad"", ""Kai-Wei Chang"", ""Hongning Wang""]",NA,NA,NA,NA,5.66666666666667,3,"SJ1nzBeA-",NA,NA,"automatic"
"LSH Softmax: Sub-Linear Learning and Inference of the Softmax Layer in Deep Architectures","[""Daniel Levy"", ""Danlu Chan"", ""Stefano Ermon""]",NA,NA,NA,NA,5,3,"SJ3dBGZ0Z",NA,NA,"automatic"
"Modeling Latent Attention Within Neural Networks","[""Christopher Grimm"", ""Dilip Arumugam"", ""Siddharth Karamcheti"", ""David Abel"", ""Lawson L.S. Wong"", ""Michael L. Littman""]","Modeling Latent Attention Within Neural Networks","Christopher Grimm|Dilip Arumugam|Siddharth Karamcheti|David Abel|Lawson L. S. Wong|Michael L. Littman","2017-06-02 02:10:39","2017-12-30 08:08:50",5.33333333333333,3,"SJ60SbW0b",NA,"1706.00536v2","automatic"
"Learning To Generate Reviews and Discovering Sentiment","[""Alec Radford"", ""Rafal Jozefowicz"", ""Ilya Sutskever""]","Learning to Generate Reviews and Discovering Sentiment","Alec Radford|Rafal Jozefowicz|Ilya Sutskever","2017-04-05 14:20:28","2017-04-06 09:48:20",3.33333333333333,3,"SJ71VXZAZ",NA,"1704.01444v2","automatic"
"On Optimality Conditions for Auto-Encoder Signal Recovery","[""Devansh Arpit"", ""Yingbo Zhou"", ""Hung Q. Ngo"", ""Nils Napp"", ""Venu Govindaraju""]","On Optimality Conditions for Auto-Encoder Signal Recovery","Devansh Arpit|Yingbo Zhou|Hung Q. Ngo|Nils Napp|Venu Govindaraju","2016-05-23 19:21:53","2017-07-13 16:25:15",4.66666666666667,3,"SJ8M9yup-",NA,"1605.07145v2","automatic"
"Sobolev GAN","[""Youssef Mroueh"", ""Chun-Liang Li"", ""Tom Sercu"", ""Anant Raj"", ""Yu Cheng""]","Sobolev GAN","Youssef Mroueh|Chun-Liang Li|Tom Sercu|Anant Raj|Yu Cheng","2017-11-14 00:41:09","2017-11-14 00:41:09",6.75,4,"SJA7xfb0b",NA,"1711.04894v1","automatic"
"Exploring the Hidden Dimension in Accelerating Convolutional Neural Networks","[""Zhihao Jia"", ""Sina Lin"", ""Charles R. Qi"", ""Alex Aiken""]",NA,NA,NA,NA,5.33333333333333,3,"SJCPLLpaW",NA,NA,"automatic"
"Sparse Attentive Backtracking: Long-Range Credit Assignment in Recurrent Networks","[""Nan Rosemary Ke"", ""Anirudh Goyal"", ""Olexa Bilaniuk"", ""Jonathan Binas"", ""Laurent Charlin"", ""Chris Pal"", ""Yoshua Bengio""]","Sparse Attentive Backtracking: Long-Range Credit Assignment in Recurrent Networks","Nan Rosemary Ke|Anirudh Goyal|Olexa Bilaniuk|Jonathan Binas|Laurent Charlin|Chris Pal|Yoshua Bengio","2017-11-07 07:52:12","2017-11-07 07:52:12",6,3,"SJCq_fZ0Z",NA,"1711.02326v1","automatic"
"Balanced and Deterministic Weight-sharing Helps Network Performance","[""Oscar Chang"", ""Hod Lipson""]","Balanced and Deterministic Weight-sharing Helps Network Performance","Oscar Chang|Hod Lipson","2023-12-13 06:02:11","2023-12-13 06:02:11",4,3,"SJD8YjCpW",NA,"2312.08401v1","automatic"
"Time-Dependent Representation for Neural Event Sequence Prediction","[""Yang Li"", ""Nan Du"", ""Samy Bengio""]","Time-Dependent Representation for Neural Event Sequence Prediction","Yang Li|Nan Du|Samy Bengio","2017-07-31 20:36:37","2018-07-20 00:49:34",4.33333333333333,3,"SJDJNzWAZ",NA,"1708.00065v4","automatic"
"Understanding Local Minima in Neural Networks by Loss Surface Decomposition","[""Hanock Kwak"", ""Byoung-Tak Zhang""]",NA,NA,NA,NA,4.33333333333333,3,"SJDYgPgCZ",NA,NA,"automatic"
"Deep Temporal Clustering: Fully unsupervised learning of time-domain features","[""Naveen Sai Madiraju"", ""Seid M. Sadat"", ""Dimitry Fisher"", ""Homa Karimabadi""]","Deep Temporal Clustering : Fully Unsupervised Learning of Time-Domain Features","Naveen Sai Madiraju|Seid M. Sadat|Dimitry Fisher|Homa Karimabadi","2018-02-04 02:18:25","2018-02-04 02:18:25",4,3,"SJFM0ZWCb",NA,"1802.01059v1","automatic"
"Stochastic Hyperparameter Optimization through Hypernetworks","[""Jonathan Lorraine"", ""David Duvenaud""]","Stochastic Hyperparameter Optimization through Hypernetworks","Jonathan Lorraine|David Duvenaud","2018-02-26 16:04:46","2018-03-08 18:14:35",6,3,"SJIA6ZWC-",NA,"1802.09419v2","automatic"
"Depth separation and weight-width trade-offs for sigmoidal neural networks","[""Amit Deshpande"", ""Navin Goyal"", ""Sushrut Karmalkar""]",NA,NA,NA,NA,4.66666666666667,3,"SJICXeWAb",NA,NA,"automatic"
"Hierarchical and Interpretable Skill Acquisition in Multi-task Reinforcement Learning","[""Tianmin Shu"", ""Caiming Xiong"", ""Richard Socher""]","Hierarchical and Interpretable Skill Acquisition in Multi-task Reinforcement Learning","Tianmin Shu|Caiming Xiong|Richard Socher","2017-12-20 02:50:20","2017-12-20 02:50:20",6,3,"SJJQVZW0b",NA,"1712.07294v1","automatic"
"Model-Ensemble Trust-Region Policy Optimization","[""Thanard Kurutach"", ""Ignasi Clavera"", ""Yan Duan"", ""Aviv Tamar"", ""Pieter Abbeel""]","Model-Ensemble Trust-Region Policy Optimization","Thanard Kurutach|Ignasi Clavera|Yan Duan|Aviv Tamar|Pieter Abbeel","2018-02-28 18:58:22","2018-10-05 05:08:37",6.66666666666667,3,"SJJinbWRZ",NA,"1802.10592v2","automatic"
"Training GANs with Optimism","[""Constantinos Daskalakis"", ""Andrew Ilyas"", ""Vasilis Syrgkanis"", ""Haoyang Zeng""]","Training GANs with Optimism","Constantinos Daskalakis|Andrew Ilyas|Vasilis Syrgkanis|Haoyang Zeng","2017-10-31 23:09:08","2018-02-13 16:33:55",7,3,"SJJySbbAZ",NA,"1711.00141v2","automatic"
"Understanding image motion with group representations ","[""Andrew Jaegle"", ""Stephen Phillips"", ""Daphne Ippolito"", ""Kostas Daniilidis""]","Understanding image motion with group representations","Andrew Jaegle|Stephen Phillips|Daphne Ippolito|Kostas Daniilidis","2016-12-01 21:18:45","2018-02-26 17:33:45",5.33333333333333,3,"SJLlmG-AZ",NA,"1612.00472v2","automatic"
"Log-DenseNet: How to Sparsify a DenseNet","[""Hanzhang Hu"", ""Debadeepta Dey"", ""Allie Del Giorno"", ""Martial Hebert"", ""J. Andrew Bagnell""]","Log-DenseNet: How to Sparsify a DenseNet","Hanzhang Hu|Debadeepta Dey|Allison Del Giorno|Martial Hebert|J. Andrew Bagnell","2017-10-30 22:01:08","2017-10-30 22:01:08",5.66666666666667,3,"SJLy_SxC-",NA,"1711.00002v1","automatic"
"Classifier-to-Generator Attack: Estimation of Training Data Distribution from Classifier","[""Kosuke Kusano"", ""Jun Sakuma""]",NA,NA,NA,NA,5,3,"SJOl4DlCZ",NA,NA,"automatic"
"Influence-Directed Explanations for Deep Convolutional Networks","[""Anupam Datta"", ""Matt Fredrikson"", ""Klas Leino"", ""Linyi Li"", ""Shayak Sen""]","Influence-Directed Explanations for Deep Convolutional Networks","Klas Leino|Shayak Sen|Anupam Datta|Matt Fredrikson|Linyi Li","2018-02-11 18:28:56","2018-11-13 06:02:57",4.33333333333333,3,"SJPpHzW0-",NA,"1802.03788v2","automatic"
"Quantitatively Evaluating GANs With Divergences Proposed for Training","[""Daniel Jiwoong Im"", ""He Ma"", ""Graham W. Taylor"", ""Kristin Branson""]","Quantitatively Evaluating GANs With Divergences Proposed for Training","Daniel Jiwoong Im|He Ma|Graham Taylor|Kristin Branson","2018-03-02 21:18:36","2018-04-28 13:34:44",6,3,"SJQHjzZ0-",NA,"1803.01045v2","automatic"
"Adversarial Learning for Semi-Supervised Semantic Segmentation","[""Wei-Chih Hung"", ""Yi-Hsuan Tsai"", ""Yan-Ting Liou"", ""Yen-Yu Lin"", ""Ming-Hsuan Yang""]","Adversarial Learning for Semi-Supervised Semantic Segmentation","Wei-Chih Hung|Yi-Hsuan Tsai|Yan-Ting Liou|Yen-Yu Lin|Ming-Hsuan Yang","2018-02-22 08:13:20","2018-07-24 22:56:44",5,3,"SJQO7UJCW",NA,"1802.07934v2","automatic"
"SHADE: SHAnnon DEcay Information-Based Regularization for Deep Learning","[""Michael Blot"", ""Thomas Robert"", ""Nicolas Thome"", ""Matthieu Cord""]",NA,NA,NA,NA,5,4,"SJSVuReCZ",NA,NA,"automatic"
"Extending the Framework of Equilibrium Propagation to General Dynamics","[""Benjamin Scellier"", ""Anirudh Goyal"", ""Jonathan Binas"", ""Thomas Mesnard"", ""Yoshua Bengio""]",NA,NA,NA,NA,4.33333333333333,3,"SJTB5GZCb",NA,NA,"automatic"
"Predict Responsibly: Increasing Fairness by Learning to Defer","[""David Madras"", ""Toniann Pitassi"", ""Richard Zemel""]",NA,NA,NA,NA,5,3,"SJUX_MWCZ",NA,NA,"automatic"
"Learning to Select: Problem, Solution, and Applications","[""Heechang Ryu"", ""Donghyun Kim"", ""Hayong Shin""]",NA,NA,NA,NA,4,3,"SJVHY9lCb",NA,NA,"automatic"
"Adaptive Memory Networks","[""Daniel Li"", ""Asim Kadav""]","Adaptive Memory Networks","Daniel Li|Asim Kadav","2018-02-01 22:33:56","2018-02-01 22:33:56",5.33333333333333,3,"SJZ2Mf-0-",NA,"1802.00510v1","automatic"
"Iterative Deep Compression : Compressing Deep Networks for Classification and Semantic Segmentation","[""Sugandha Doda"", ""Vitor Fortes Rey"", ""Dr. Nadereh Hatami"", ""Prof. Dr. Paul Lukowicz""]",NA,NA,NA,NA,5,3,"SJZsR7kCZ",NA,NA,"automatic"
"Anytime Neural Network: a Versatile Trade-off Between Computation and Accuracy","[""Hanzhang Hu"", ""Debadeepta Dey"", ""Martial Hebert"", ""J. Andrew Bagnell""]",NA,NA,NA,NA,5.66666666666667,3,"SJa1Nk10b",NA,NA,"automatic"
"Residual Connections Encourage Iterative Inference","[""Stanis\u0142aw Jastrzebski"", ""Devansh Arpit"", ""Nicolas Ballas"", ""Vikas Verma"", ""Tong Che"", ""Yoshua Bengio""]","Residual Connections Encourage Iterative Inference","Stanisław Jastrzębski|Devansh Arpit|Nicolas Ballas|Vikas Verma|Tong Che|Yoshua Bengio","2017-10-13 01:39:32","2018-03-08 18:45:27",6,3,"SJa9iHgAZ",NA,"1710.04773v2","automatic"
"Deep Learning with Logged Bandit Feedback","[""Thorsten Joachims"", ""Adith Swaminathan"", ""Maarten de Rijke""]",NA,NA,NA,NA,7,3,"SJaP_-xAb",NA,NA,"automatic"
"Stabilizing GAN Training with Multiple Random Projections","[""Behnam Neyshabur"", ""Srinadh Bhojanapalli"", ""Ayan Chakrabarti""]","Stabilizing GAN Training with Multiple Random Projections","Behnam Neyshabur|Srinadh Bhojanapalli|Ayan Chakrabarti","2017-05-22 16:23:26","2018-06-23 00:53:46",5.33333333333333,3,"SJahqJZAW",NA,"1705.07831v2","automatic"
"Can recurrent neural networks warp time?","[""Corentin Tallec"", ""Yann Ollivier""]","Can recurrent neural networks warp time?","Corentin Tallec|Yann Ollivier","2018-03-23 09:17:35","2018-03-23 09:17:35",8,3,"SJcKhk-Ab",NA,"1804.11188v1","automatic"
"Generalized Graph Embedding Models","[""Qiao Liu"", ""Xiaohui Yang"", ""Rui Wan"", ""Shouzhong Tu"", ""Zufeng Wu""]",NA,NA,NA,NA,4.33333333333333,3,"SJd0EAy0b",NA,NA,"automatic"
"Data-efficient Deep Reinforcement Learning for Dexterous Manipulation","[""Ivo Popov"", ""Nicolas Heess"", ""Timothy P. Lillicrap"", ""Roland Hafner"", ""Gabriel Barth-Maron"", ""Matej Vecerik"", ""Thomas Lampe"", ""Tom Erez"", ""Yuval Tassa"", ""Martin Riedmiller""]","Data-efficient Deep Reinforcement Learning for Dexterous Manipulation","Ivaylo Popov|Nicolas Heess|Timothy Lillicrap|Roland Hafner|Gabriel Barth-Maron|Matej Vecerik|Thomas Lampe|Yuval Tassa|Tom Erez|Martin Riedmiller","2017-04-10 22:29:50","2017-04-10 22:29:50",3,3,"SJdCUMZAW",NA,"1704.03073v1","automatic"
"Predicting Multiple Actions for Stochastic Continuous Control","[""Sanjeev Kumar"", ""Christian Rupprecht"", ""Federico Tombari"", ""Gregory D. Hager""]",NA,NA,NA,NA,4.66666666666667,3,"SJgf6Z-0W",NA,NA,"automatic"
"Gradient Estimators for Implicit Models","[""Yingzhen Li"", ""Richard E. Turner""]","Gradient Estimators for Implicit Models","Yingzhen Li|Richard E. Turner","2017-05-19 17:35:04","2018-04-26 08:43:09",6.66666666666667,3,"SJi9WOeRb",NA,"1705.07107v5","automatic"
"Contextual memory bandit for pro-active dialog engagement","[""julien perez"", ""Tomi Silander""]",NA,NA,NA,NA,2.66666666666667,3,"SJiHOSeR-",NA,NA,"automatic"
"Diffusion Convolutional Recurrent Neural Network: Data-Driven Traffic Forecasting","[""Yaguang Li"", ""Rose Yu"", ""Cyrus Shahabi"", ""Yan Liu""]","Diffusion Convolutional Recurrent Neural Network: Data-Driven Traffic Forecasting","Yaguang Li|Rose Yu|Cyrus Shahabi|Yan Liu","2017-07-06 18:20:59","2018-02-22 19:52:51",6,3,"SJiHXGWAZ",NA,"1707.01926v3","automatic"
"Learning Independent Causal Mechanisms","[""Giambattista Parascandolo"", ""Mateo Rojas Carulla"", ""Niki Kilbertus"", ""Bernhard Schoelkopf""]","Learning Independent Causal Mechanisms","Giambattista Parascandolo|Niki Kilbertus|Mateo Rojas-Carulla|Bernhard Schölkopf","2017-12-04 09:06:15","2018-09-08 08:17:44",5.33333333333333,3,"SJky6Ry0W",NA,"1712.00961v5","automatic"
"GraphVAE: Towards Generation of Small Graphs Using Variational Autoencoders","[""Martin Simonovsky"", ""Nikos Komodakis""]","GraphVAE: Towards Generation of Small Graphs Using Variational Autoencoders","Martin Simonovsky|Nikos Komodakis","2018-02-09 23:57:46","2018-02-09 23:57:46",6.33333333333333,3,"SJlhPMWAW",NA,"1802.03480v1","automatic"
"DNN Feature Map Compression using Learned Representation over GF(2)","[""Denis A. Gudovskiy"", ""Alec Hodgkinson"", ""Luca Rigazio""]","DNN Feature Map Compression using Learned Representation over GF(2)","Denis A. Gudovskiy|Alec Hodgkinson|Luca Rigazio","2018-08-15 21:13:06","2018-08-15 21:13:06",5.33333333333333,3,"SJmAXkgCb",NA,"1808.05285v1","automatic"
"A Deep Learning Approach for Survival Clustering without End-of-life Signals","[""S Chandra Mouli"", ""Bruno Ribeiro"", ""Jennifer Neville""]",NA,NA,NA,NA,5.33333333333333,3,"SJme6-ZR-",NA,NA,"automatic"
"Data Augmentation by Pairing Samples for Images Classification","[""Hiroshi Inoue""]","Data Augmentation by Pairing Samples for Images Classification","Hiroshi Inoue","2018-01-09 13:37:11","2018-04-11 13:28:07",5,3,"SJn0sLgRb",NA,"1801.02929v2","automatic"
"Cheap DNN Pruning with Performance Guarantees ","[""Konstantinos Pitas"", ""Mike Davies"", ""Pierre Vandergheynst""]",NA,NA,NA,NA,5.33333333333333,3,"SJtChcgAW",NA,NA,"automatic"
"ResBinNet: Residual Binary Neural Network","[""Mohammad Ghasemzadeh"", ""Mohammad Samragh"", ""Farinaz Koushanfar""]",NA,NA,NA,NA,4,3,"SJtfOEn6-",NA,NA,"automatic"
"UNSUPERVISED METRIC LEARNING VIA NONLINEAR FEATURE SPACE TRANSFORMATIONS","[""Pin Zhang"", ""Bibo Shi"", ""JundongLiu""]",NA,NA,NA,NA,4.66666666666667,3,"SJu63o10b",NA,NA,"automatic"
"Adversary A3C for Robust Reinforcement Learning","[""Zhaoyuan Gu"", ""Zhenzhong Jia"", ""Howie Choset""]","Adversary A3C for Robust Reinforcement Learning","Zhaoyuan Gu|Zhenzhong Jia|Howie Choset","2019-12-01 06:26:09","2019-12-01 06:26:09",4,3,"SJvrXqvaZ",NA,"1912.00330v1","automatic"
"Graph2Seq: Scalable Learning Dynamics for Graphs","[""Shaileshh Bojja Venkatakrishnan"", ""Mohammad Alizadeh"", ""Pramod Viswanath""]","Graph2Seq: Scalable Learning Dynamics for Graphs","Shaileshh Bojja Venkatakrishnan|Mohammad Alizadeh|Pramod Viswanath","2018-02-14 04:04:41","2018-10-09 15:00:04",4,3,"SJvu-GW0b",NA,"1802.04948v3","automatic"
"GENERATIVE LOW-SHOT NETWORK EXPANSION","[""Adi Hayat"", ""Mark Kliger"", ""Shachar Fleishman"", ""Daniel Cohen-Or""]","Generative Low-Shot Network Expansion","Adi Hayat|Mark Kliger|Shachar Fleishman|Daniel Cohen-Or","2018-10-19 06:25:00","2018-10-19 06:25:00",4.66666666666667,3,"SJw03ceRW",NA,"1810.08363v1","automatic"
"Improving the Improved Training of Wasserstein GANs: A Consistency Term and Its Dual Effect","[""Xiang Wei"", ""Boqing Gong"", ""Zixia Liu"", ""Wei Lu"", ""Liqiang Wang""]","Improving the Improved Training of Wasserstein GANs: A Consistency Term and Its Dual Effect","Xiang Wei|Boqing Gong|Zixia Liu|Wei Lu|Liqiang Wang","2018-03-05 08:00:39","2018-03-05 08:00:39",5.66666666666667,3,"SJx9GQb0-",NA,"1803.01541v1","automatic"
"Now I Remember! Episodic Memory For Reinforcement Learning","[""Ricky Loynd"", ""Matthew Hausknecht"", ""Lihong Li"", ""Li Deng""]",NA,NA,NA,NA,4,3,"SJxE3jlA-",NA,NA,"automatic"
"Learning Wasserstein Embeddings","[""Nicolas Courty"", ""R\u00e9mi Flamary"", ""M\u00e9lanie Ducoffe""]","Learning Wasserstein Embeddings","Nicolas Courty|Rémi Flamary|Mélanie Ducoffe","2017-10-20 09:09:34","2017-10-20 09:09:34",7,3,"SJyEH91A-",NA,"1710.07457v1","automatic"
"Fraternal Dropout","[""Konrad Zolna"", ""Devansh Arpit"", ""Dendi Suhubdy"", ""Yoshua Bengio""]","Fraternal Dropout","Konrad Zolna|Devansh Arpit|Dendi Suhubdy|Yoshua Bengio","2017-10-31 19:32:45","2018-03-28 15:50:58",5.33333333333333,3,"SJyVzQ-C-",NA,"1711.00066v4","automatic"
"Fast Node Embeddings: Learning Ego-Centric Representations","[""Tiago Pimentel"", ""Adriano Veloso"", ""Nivio Ziviani""]",NA,NA,NA,NA,5,3,"SJyfrl-0b",NA,NA,"automatic"
"Deep Continuous Clustering","[""Sohil Atul Shah"", ""Vladlen Koltun""]","Deep Continuous Clustering","Sohil Atul Shah|Vladlen Koltun","2018-03-05 01:15:38","2018-03-05 01:15:38",5.33333333333333,3,"SJzMATlAZ",NA,"1803.01449v1","automatic"
"Latent Space Oddity: on the Curvature of Deep Generative Models","[""Georgios Arvanitidis"", ""Lars Kai Hansen"", ""S\u00f8ren Hauberg""]","Latent Space Oddity: on the Curvature of Deep Generative Models","Georgios Arvanitidis|Lars Kai Hansen|Søren Hauberg","2017-10-31 09:10:10","2021-12-13 14:51:39",5.66666666666667,3,"SJzRZ-WCZ",NA,"1710.11379v3","automatic"
"Learning non-linear transform with discriminative and minimum information loss priors","[""Dimche Kostadinov"", ""Slava Voloshynovskiy""]",NA,NA,NA,NA,4.66666666666667,3,"SJzmJEq6W",NA,NA,"automatic"
"An Ensemble of Retrieval-Based and Generation-Based Human-Computer Conversation Systems.","[""Yiping Song"", ""Rui Yan"", ""Cheng-Te Li"", ""Jian-Yun Nie"", ""Ming Zhang"", ""Dongyan Zhao""]",NA,NA,NA,NA,5.33333333333333,3,"Sk03Yi10Z",NA,NA,"automatic"
"Sparse Regularized Deep Neural Networks For Efficient Embedded Learning","[""Jia Bi""]",NA,NA,NA,NA,3.33333333333333,3,"Sk0pHeZAW",NA,NA,"automatic"
"Key Protected Classification for GAN Attack Resilient Collaborative Learning","[""Mert B\u00fclent Sar\u0131y\u0131ld\u0131z"", ""Ramazan G\u00f6kberk Cinbi\u015f"", ""Erman Ayday""]",NA,NA,NA,NA,4,3,"Sk1NTfZAb",NA,NA,"automatic"
"Continuous Adaptation via Meta-Learning in Nonstationary and Competitive Environments","[""Maruan Al-Shedivat"", ""Trapit Bansal"", ""Yura Burda"", ""Ilya Sutskever"", ""Igor Mordatch"", ""Pieter Abbeel""]","Continuous Adaptation via Meta-Learning in Nonstationary and Competitive Environments","Maruan Al-Shedivat|Trapit Bansal|Yuri Burda|Ilya Sutskever|Igor Mordatch|Pieter Abbeel","2017-10-10 15:00:37","2018-02-23 17:27:36",8,3,"Sk2u1g-0-",NA,"1710.03641v2","automatic"
"Rotational Unit of Memory ","[""Rumen Dangovski"", ""Li Jing"", ""Marin Soljacic""]","Rotational Unit of Memory","Rumen Dangovski|Li Jing|Marin Soljacic","2017-10-26 04:36:35","2017-10-26 04:36:35",5,3,"Sk4w0A0Tb",NA,"1710.09537v1","automatic"
"Espresso: Efficient Forward Propagation for Binary Deep Neural Networks","[""Fabrizio Pedersoli"", ""George Tzanetakis"", ""Andrea Tagliasacchi""]",NA,NA,NA,NA,6.66666666666667,3,"Sk6fD5yCb",NA,NA,"automatic"
"Lifelong Learning with Dynamically Expandable Networks","[""Jaehong Yoon"", ""Eunho Yang"", ""Jeongtae Lee"", ""Sung Ju Hwang""]","Lifelong Learning with Dynamically Expandable Networks","Jaehong Yoon|Eunho Yang|Jeongtae Lee|Sung Ju Hwang","2017-08-04 15:14:31","2018-06-11 09:03:44",7,3,"Sk7KsfW0-",NA,"1708.01547v11","automatic"
"Representing dynamically: An active process for describing sequential data","[""Juan Sebastian Olier"", ""Emilia Barakova"", ""Matthias Rauterberg"", ""Carlo Regazzoni""]",NA,NA,NA,NA,4.25,4,"Sk7cHb-C-",NA,NA,"automatic"
"Mitigating Adversarial Effects Through Randomization","[""Cihang Xie"", ""Jianyu Wang"", ""Zhishuai Zhang"", ""Zhou Ren"", ""Alan Yuille""]","Mitigating Adversarial Effects Through Randomization","Cihang Xie|Jianyu Wang|Zhishuai Zhang|Zhou Ren|Alan Yuille","2017-11-06 16:22:54","2018-02-28 22:39:15",6.33333333333333,3,"Sk9yuql0Z",NA,"1711.01991v3","automatic"
"When is a Convolutional Filter Easy to Learn?","[""Simon S. Du"", ""Jason D. Lee"", ""Yuandong Tian""]","When is a Convolutional Filter Easy To Learn?","Simon S. Du|Jason D. Lee|Yuandong Tian","2017-09-18 19:09:24","2018-02-28 17:08:26",7.66666666666667,3,"SkA-IE06W",NA,"1709.06129v2","automatic"
"An Out-of-the-box Full-network Embedding for Convolutional Neural Networks","[""Dario Garcia-Gasulla"", ""Armand Vilalta"", ""Ferran Par\u00e9s"", ""Jonatan Moreno"", ""Eduard Ayguad\u00e9"", ""Jes\u00fas Labarta"", ""Ulises Cort\u00e9s"", ""Toyotaro Suzumura""]","An Out-of-the-box Full-network Embedding for Convolutional Neural Networks","Dario Garcia-Gasulla|Armand Vilalta|Ferran Parés|Jonatan Moreno|Eduard Ayguadé|Jesus Labarta|Ulises Cortés|Toyotaro Suzumura","2017-05-22 13:14:11","2017-05-22 13:14:11",3.66666666666667,3,"SkAK2jg0b",NA,"1705.07706v1","automatic"
"Ego-CNN: An Ego Network-based Representation of Graphs Detecting Critical Structures","[""Ruo-Chun Tzeng"", ""Shan-Hung Wu""]",NA,NA,NA,NA,5,3,"SkBHr1WRW",NA,NA,"automatic"
"Searching for Activation Functions","[""Prajit Ramachandran"", ""Barret Zoph"", ""Quoc V. Le""]","Searching for Activation Functions","Prajit Ramachandran|Barret Zoph|Quoc V. Le","2017-10-16 18:05:45","2017-10-27 17:45:21",5.33333333333333,3,"SkBYYyZRZ",NA,"1710.05941v2","automatic"
"Fast and Accurate Inference with Adaptive Ensemble Prediction for Deep Networks","[""Hiroshi Inoue""]",NA,NA,NA,NA,5.33333333333333,3,"SkBcLugC-",NA,NA,"automatic"
"Preliminary theoretical troubleshooting in Variational Autoencoder","[""Shiqi Liu"", ""Qian Zhao"", ""Xiangyong Cao"", ""Deyu Meng"", ""Zilu Ma"", ""Tao Yu""]",NA,NA,NA,NA,3.33333333333333,3,"SkERSm-0-",NA,NA,"automatic"
